sample_index,label_row,sample_id,video_id,clip_id,video_path,video_sha256,wav_path,wav_sha256,transcript_lab_path,transcript_lab_sha256,textgrid_path,textgrid_sha256,openface_csv_path,openface_csv_sha256,feature_sha256,original_word_count,valid_length,was_aggregated,alignment_method,face_detection_failure_rate,wav_duration_s,wav_video_duration_gap_s,openface_frame_count
0,2,-3g5yACwYnA$_$13,-3g5yACwYnA,13,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/13.mp4,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3g5yACwYnA__13.wav,a9a819084c5ba3b90b7db335514d7f5617fd9429eea9cc3f5b3f9c163f56fc61,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3g5yACwYnA__13.lab,b4908ef894327874eccf743ec6312b6d687aabf5d51cef325c2444a7abb2d852,/Users/wangyiming/Desktop/E题/problem1/work/mfa_alignment/-3g5yACwYnA__13.TextGrid,382005a9b0495e0fb019f2f157dc4911971de593a7b1617398ce685c62107282,/Users/wangyiming/Desktop/E题/problem1/work/openface/-3g5yACwYnA__13/13.csv,f3737d56b6325eac1765643bbe0b9da5c15d1cc6bd52040f50fb80c75a02603e,6121be3dfb272fe1c3ba6994c885826c818649a810eb19d5cf60ae54a69c88e0,15,15,False,mfa_forced_alignment,0.0,5.399125,0.11487200000000009,163
1,3,-3g5yACwYnA$_$3,-3g5yACwYnA,3,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/3.mp4,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3g5yACwYnA__3.wav,edffaad1df7960b42c66878c43a490ef7e7d52ea94f7f80e025e76ccfdd28d00,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3g5yACwYnA__3.lab,7f07c40a0a8ad40b745e6802667e55346440fd124bf01ef38a951641ddb772b8,/Users/wangyiming/Desktop/E题/problem1/work/mfa_alignment/-3g5yACwYnA__3.TextGrid,861b030464863c236339fc32bf27ddaec1d2c7b03701823ea0601c0f7d04d783,/Users/wangyiming/Desktop/E题/problem1/work/openface/-3g5yACwYnA__3/3.csv,4aebf7565f9bd17ac1b21aaec236c50c044bbb297fb1242d54a5e027ff1baa31,55ea7dfba8888a82bdeb8877d8f8be0f665b6d985951689ff9fad59c2b5dbf3c,29,29,False,mfa_forced_alignment,0.0,14.327875,0.06112199999999923,431
2,4,-3g5yACwYnA$_$2,-3g5yACwYnA,2,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/2.mp4,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3g5yACwYnA__2.wav,00ec4d678081cf8ae0fe787ba528406faf47c7538372186e15c24391a935e24d,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3g5yACwYnA__2.lab,490ed1fd3307515b6204f6ed713e0f03565adbbae73a142ef40568b92c6fc250,/Users/wangyiming/Desktop/E题/problem1/work/mfa_alignment/-3g5yACwYnA__2.TextGrid,bc9d530da14ffc3f953c126f568f839103109c0794eed938de1f8740d3b521d4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-3g5yACwYnA__2/2.csv,b4a0a497df5b4b8efb8e15d571e1c9c0c939907bed7e5e02a808e7f079b14151,e8435c671094c950869e3f3c631d5751a498623d10c7d29f31298471a81b3b31,14,14,False,mfa_forced_alignment,0.0,9.2313125,0.16269750000000016,278
3,5,-3g5yACwYnA$_$9,-3g5yACwYnA,9,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/9.mp4,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3g5yACwYnA__9.wav,2b7410d6fd2c93834a590b55de200c9649eb6e05b6d21b6607222c4e23846ebe,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3g5yACwYnA__9.lab,4b26a5e307921b897d6a33baf804a77e16e54dd6471e97f354391a3cb37fd22f,/Users/wangyiming/Desktop/E题/problem1/work/mfa_alignment/-3g5yACwYnA__9.TextGrid,91ad5e6e70a46e90c37f365600006db2e4f2a8e5022ba001d1b266ac6b8d6c8f,/Users/wangyiming/Desktop/E题/problem1/work/openface/-3g5yACwYnA__9/9.csv,bd83ef97598c97a688d768ec37b502a5ef47bc2db4534fcc7b2cb1fd6310127e,3482c04aa3a5b8ef8198ae40aefd3324f0b0f7944a00440bb6194212c729fb45,23,23,False,mfa_forced_alignment,0.0,8.696125,0.1208670000000005,263
4,6,-3nNcZdcdvU$_$5,-3nNcZdcdvU,5,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3nNcZdcdvU/5.mp4,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3nNcZdcdvU__5.wav,e89bfb9b04bde31d42ffd914db196c11140f7b0c3af127827856f163b359575e,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3nNcZdcdvU__5.lab,d0a1b584c88c4fa31b72084ae234b0139e9b868026939b768ea1c96ded6fe933,/Users/wangyiming/Desktop/E题/problem1/work/mfa_alignment/-3nNcZdcdvU__5.TextGrid,61f09cc04310035a1ca384cb134f687089c31c7d502fd90071f411fdf75b34d3,/Users/wangyiming/Desktop/E题/problem1/work/openface/-3nNcZdcdvU__5/5.csv,d217ff30d63678b39d30fdc6e4fd7e8692dabc67d0423e3f3aa1aa045968f3f4,09e080503d32be252693a9221c4e5e37c2956d7688624952c828c4caca2e2717,18,18,False,mfa_forced_alignment,0.0,7.7885625,0.07940650000000016,236
5,7,-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,2,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/2.mp4,920a1052c09ebd1eedba6dd1ccfecd80f56f6f0fdcdd1f6dd32b0d90bcb89358,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-HwX2H8Z4hY__2.wav,c892630a972a2931af32074effa8092e8089e6c1f7196f29b4789360b44208ed,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-HwX2H8Z4hY__2.lab,b23c1b5bbf3060472b21184f7649670064a38b1ba9cdf76c9f90496367b1aa67,/Users/wangyiming/Desktop/E题/problem1/work/mfa_alignment/-HwX2H8Z4hY__2.TextGrid,0afabbfa689434e7bae32de0676e271d6c3dc05127488d42eb23b15dd7feb0cf,/Users/wangyiming/Desktop/E题/problem1/work/openface/-HwX2H8Z4hY__2/2.csv,04058c767f7133da92a7a4e5fdd570c80cce2600c4ef1c4109e8fd9f09fbcaae,292ed2ab938955c8dc16433cd87f24b64082591bedc16fa0a251a62f79497cca,5,5,False,mfa_forced_alignment,0.7310924530029297,3.9158125,0.06621850000000018,119
6,8,-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,5,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/5.mp4,8d61b7f5840a8bd403d9bc6c3cd49029ffc4e304cf9c7834735c1a6bb5fd369d,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-HwX2H8Z4hY__5.wav,10fafd4fe3139f6ea74499398f46e7950326fe41c484a29b32af288a6b46d350,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-HwX2H8Z4hY__5.lab,dde379d789cb6555d481304c269ec258e2b79e399eee1fd961b14c3cae22711f,/Users/wangyiming/Desktop/E题/problem1/work/mfa_alignment/-HwX2H8Z4hY__5.TextGrid,1532ee8c486310100fa120cd8637c8980a2ce1c608defb086cc8a1fb50a3dbb5,/Users/wangyiming/Desktop/E题/problem1/work/openface/-HwX2H8Z4hY__5/5.csv,6cb254d7fd0d67056ba10ab8f6e84b391936f2562e2cc02368b974d98354667f,9e7511c76eea0b33de8448d6fa6e2d98d9947e9bceefe7754be82bcbfac97d77,9,9,False,mfa_forced_alignment,0.648809552192688,5.5440625,0.10893249999999988,168
7,9,-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,6,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/6.mp4,696576dcbd0dc42cb678fa40d8a0f0f419a3072bfa7662d653756ab29bba4c46,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-HwX2H8Z4hY__6.wav,3ac969024edaeae0e015b429eff445f2642ced3ea6bac02b430e771388a88ab4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-HwX2H8Z4hY__6.lab,97d4fe3e7341a017015cbf1ed7d523266e63c8c823c85c8189374ce33d4c4618,/Users/wangyiming/Desktop/E题/problem1/work/mfa_alignment/-HwX2H8Z4hY__6.TextGrid,bc61f6ab1e6b1bf1b75ac3a67918cff10e834b8e8cf6febe8f030bbaa5ac51d1,/Users/wangyiming/Desktop/E题/problem1/work/openface/-HwX2H8Z4hY__6/6.csv,4a84070a5f6cdd5219ca14b1c3cc4ccb2d7574112509dd31c4d7bf554d00b236,719ff7f555e8fb1dc3de8bb02f20d190ba2d66b868dcecb94cdb51209a115081,7,7,False,mfa_forced_alignment,0.38383838534355164,3.256,0.1020080000000001,99
8,10,-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,9,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/9.mp4,90c18e627f27a12c14e21ba24c79edf3008762b4ac26874b490ad3f888381702,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-HwX2H8Z4hY__9.wav,6cbd7aaaa0846414ed9448e9867d407028c8d0c35b94ecfbf0c2cadaea88659e,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-HwX2H8Z4hY__9.lab,861c87ab67bcfe07ba1450280dc575055be416be607d07b5d1720df96d347ed3,/Users/wangyiming/Desktop/E题/problem1/work/mfa_alignment/-HwX2H8Z4hY__9.TextGrid,93582e848b5beef91de821935332df05dee5b56d97682ad116fa9a4d1c7c9f0c,/Users/wangyiming/Desktop/E题/problem1/work/openface/-HwX2H8Z4hY__9/9.csv,03695b619714ae75bfb1edbcdbd396d8d60a3e19cef55ef245abe78cd96fdf3c,2344bdee2aec065d6ec774954ebd8aa5b5aa5ebac0f622cbfc940c71f2b7cb9c,22,22,False,mfa_forced_alignment,0.017241379246115685,7.6363125,0.09767150000000058,232
9,11,-NFrJFQijFE$_$1,-NFrJFQijFE,1,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/1.mp4,d8fcf16c6eb51c56947ec3d0549c6f3bc7a0cf1fc5f5d89e8b38d4249a08db4f,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-NFrJFQijFE__1.wav,6960c61eb7e26c51738bbf760254fe97ae4d269e13d7a044684649e33f558723,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-NFrJFQijFE__1.lab,09ff043262f6c773808e679327d96e4541d8ebcc80bde8e98f92d9467a140045,/Users/wangyiming/Desktop/E题/problem1/work/mfa_alignment/-NFrJFQijFE__1.TextGrid,e01c482e9f1b8fe59a59d964ce5e26f1a5f2aa22fa20e9d9897d81aba7dd9b3e,/Users/wangyiming/Desktop/E题/problem1/work/openface/-NFrJFQijFE__1/1.csv,9c75e96bbecac6bca3cd4af06dcc01222f32e27377b085aeea4424d06d85730a,4aff72afb1e047eadb378258f26de1da3dda15efc72b5673b30aeeb6addda9c5,16,16,False,mfa_forced_alignment,1.0,5.658875,0.08712500000000034,142
