sequence_number_1based,sample_index_0based,label_excel_row,sample_id,modality,raw_video_duration_s,aligned_start_s,aligned_end_s,feature_dimension,fixed_sequence_length,valid_sequence_length,available_positions,alignment_granularity,alignment_method,raw_video_path,modality_source_path,feature_sha256
1,0,2,-3g5yACwYnA$_$13,文本,5.513997,1.440000,4.870000,768,50,15,15,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/13.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3g5yACwYnA__13.lab,6121be3dfb272fe1c3ba6994c885826c818649a810eb19d5cf60ae54a69c88e0
1,0,2,-3g5yACwYnA$_$13,语音,5.513997,1.440000,4.870000,74,50,15,15,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/13.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3g5yACwYnA__13.wav,6121be3dfb272fe1c3ba6994c885826c818649a810eb19d5cf60ae54a69c88e0
1,0,2,-3g5yACwYnA$_$13,视觉,5.513997,1.440000,4.870000,35,50,15,15,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/13.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-3g5yACwYnA__13/13.csv,6121be3dfb272fe1c3ba6994c885826c818649a810eb19d5cf60ae54a69c88e0
2,1,3,-3g5yACwYnA$_$3,文本,14.388997,0.520000,14.300000,768,50,29,29,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/3.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3g5yACwYnA__3.lab,55ea7dfba8888a82bdeb8877d8f8be0f665b6d985951689ff9fad59c2b5dbf3c
2,1,3,-3g5yACwYnA$_$3,语音,14.388997,0.520000,14.300000,74,50,29,29,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/3.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3g5yACwYnA__3.wav,55ea7dfba8888a82bdeb8877d8f8be0f665b6d985951689ff9fad59c2b5dbf3c
2,1,3,-3g5yACwYnA$_$3,视觉,14.388997,0.520000,14.300000,35,50,29,29,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/3.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-3g5yACwYnA__3/3.csv,55ea7dfba8888a82bdeb8877d8f8be0f665b6d985951689ff9fad59c2b5dbf3c
3,2,4,-3g5yACwYnA$_$2,文本,9.394010,0.220000,9.170000,768,50,14,14,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/2.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3g5yACwYnA__2.lab,e8435c671094c950869e3f3c631d5751a498623d10c7d29f31298471a81b3b31
3,2,4,-3g5yACwYnA$_$2,语音,9.394010,0.220000,9.170000,74,50,14,14,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/2.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3g5yACwYnA__2.wav,e8435c671094c950869e3f3c631d5751a498623d10c7d29f31298471a81b3b31
3,2,4,-3g5yACwYnA$_$2,视觉,9.394010,0.220000,9.170000,35,50,14,14,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/2.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-3g5yACwYnA__2/2.csv,e8435c671094c950869e3f3c631d5751a498623d10c7d29f31298471a81b3b31
4,3,5,-3g5yACwYnA$_$9,文本,8.816992,0.750000,8.130000,768,50,23,23,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/9.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3g5yACwYnA__9.lab,3482c04aa3a5b8ef8198ae40aefd3324f0b0f7944a00440bb6194212c729fb45
