position_0based,word,start_s,end_s,source_word_span_half_open,audio_candidate_frame_centres,video_candidate_frame_centres,text_norm,audio_log_rms,vision_AU12_r,modality_available_TAV
0,they've,1.440,1.580,"[0, 1]",1.440–1.580 (15帧),1.433–1.567 (5帧),9.538,-4.562,0.331,1/1/1
1,been,1.580,1.700,"[1, 2]",1.580–1.700 (13帧),1.567–1.700 (5帧),14.016,-4.554,0.455,1/1/1
2,able,1.700,1.910,"[2, 3]",1.700–1.910 (22帧),1.700–1.900 (7帧),14.050,-4.429,0.223,1/1/1
3,to,1.910,2.050,"[3, 4]",1.910–2.050 (15帧),1.900–2.033 (5帧),14.100,-6.361,0.179,1/1/1
4,find,2.050,2.410,"[4, 5]",2.050–2.410 (37帧),2.033–2.400 (12帧),12.948,-5.693,0.520,1/1/1
5,solutions,2.410,2.980,"[5, 6]",2.410–2.980 (58帧),2.400–2.967 (18帧),12.803,-5.521,0.492,1/1/1
6,or,2.980,3.010,"[6, 7]",2.980–3.010 (4帧),2.967–3.000 (2帧),14.162,-4.888,0.445,1/1/1
7,at,3.010,3.260,"[7, 8]",3.010–3.260 (26帧),3.000–3.267 (9帧),17.104,-4.860,0.453,1/1/1
8,least,3.260,3.470,"[8, 9]",3.260–3.470 (22帧),3.267–3.467 (7帧),16.834,-6.457,0.619,1/1/1
9,bring,3.470,3.750,"[9, 10]",3.470–3.750 (29帧),3.467–3.733 (9帧),12.332,-5.064,0.966,1/1/1
10,some,3.750,4.020,"[10, 11]",3.750–4.020 (28帧),3.767–4.033 (9帧),13.275,-5.483,0.532,1/1/1
11,answers,4.020,4.370,"[11, 12]",4.020–4.370 (36帧),4.033–4.367 (11帧),13.300,-5.318,0.582,1/1/1
12,to,4.370,4.540,"[12, 13]",4.370–4.540 (18帧),4.367–4.533 (6帧),13.951,-5.494,0.439,1/1/1
13,the,4.600,4.660,"[13, 14]",4.600–4.660 (7帧),4.600–4.667 (3帧),14.139,-5.014,0.360,1/1/1
14,table,4.660,4.870,"[14, 15]",4.660–4.870 (22帧),4.667–4.867 (7帧),13.377,-5.186,0.213,1/1/1
